"Match.Id","Round.Id","Competition.Id","Venue","Local.Start.Time","Round.Number","Round.Abbreviation","Weather.Type","Weather.Description","Temperature","team","goals","behinds","points_for","behinds_left","behinds_right","posters_left","posters_right","behinds_rushed","behinds_touched","points_against","home_or_away","score_margin","match_outcome","team_abbr","team_id","team_nickname","bounces","clangers","clearances_centre","clearances_stoppage","clearances_total","marks_contested","possessions_contested","disposals_efficiency","disposals","dream_team_points","frees_against","frees_for","goal_accuracy","goal_assists","goal_efficiency","handballs","hitouts","inside50s","intercepts","kicks","marks","marks_inside50","one_percenters","rebound50s","shot_efficiency","shots_at_goal","tackles","tackles_inside50","possessions_total","turnovers","possessions_uncontested"
"CD_M20172640703","CD_R201726407","CD_S2017264","Olympic Park Oval",2017-03-19 13:35:00,7,"Rd 7","SUNNY","Sunny",32,"Collingwood",7,4,46,1,3,0,0,0,0,70,"Home",-24,"Loss","COLL","CD_T8097","Magpies",2,42,7,14,21,9,72,60,140,753,18,18,58.3,6,38.9,35,29,18,34,105,39,9,26,20,66.7,12,53,3,137,46,65
"CD_M20172640703","CD_R201726407","CD_S2017264","Olympic Park Oval",2017-03-19 13:35:00,7,"Rd 7","SUNNY","Sunny",32,"Adelaide Crows",10,10,70,4,1,0,1,4,0,46,"Away",24,"Win","ADEL","CD_T8098","Crows",3,32,7,11,18,6,104,53.2,171,752,18,18,41.7,2,30.3,48,18,33,47,123,29,12,13,10,72.7,24,37,10,167,34,63
"CD_M20172640704","CD_R201726407","CD_S2017264","Ikon Park",2017-03-19 15:35:00,7,"Rd 7","CLEAR_NIGHT","Clear",18,"Carlton",6,1,37,0,0,0,0,1,0,37,"Home",0,"Draw","CARL","CD_T8096","Blues",0,43,10,15,25,9,95,66.9,169,760,15,10,66.7,4,25,58,21,24,50,111,36,8,23,21,37.5,9,45,10,173,55,78
"CD_M20172640704","CD_R201726407","CD_S2017264","Ikon Park",2017-03-19 15:35:00,7,"Rd 7","CLEAR_NIGHT","Clear",18,"Brisbane Lions",5,7,37,1,1,0,0,4,1,37,"Away",0,"Draw","BL","CD_T7887","Lions",8,29,4,15,19,6,94,64.1,198,863,10,15,41.7,4,18.5,65,23,27,55,133,39,12,21,18,44.4,12,43,9,192,50,98
"CD_M20172640801","CD_R201726408","CD_S2017264","Metricon Stadium",2017-03-25 13:00:00,8,"GF","RAIN","Possible shower",28,"Brisbane Lions",4,5,29,1,2,0,0,2,0,35,"Home",-6,"Loss","BL","CD_T7887","Lions",6,49,4,7,11,9,112,50.2,201,957,22,23,36.4,4,14.8,51,22,27,78,150,51,4,24,39,40.7,11,61,9,203,75,91
"CD_M20172640801","CD_R201726408","CD_S2017264","Metricon Stadium",2017-03-25 13:00:00,8,"GF","RAIN","Possible shower",28,"Adelaide Crows",4,11,35,3,4,0,0,3,1,29,"Away",6,"Win","ADEL","CD_T8098","Crows",3,59,6,23,29,6,133,53.6,224,918,23,22,21.1,3,9.3,64,21,43,75,160,35,6,25,22,44.2,19,49,8,225,78,92
"CD_M20182640101","CD_R201826401","CD_S2018264","Ikon Park",2018-02-02 19:45:00,1,"Rd 1","CLEAR_NIGHT","Clear",18,"Carlton",3,4,22,1,1,0,1,1,0,14,"Home",8,"Win","CARL","CD_T8096","Blues",0,42,0,15,15,10,92,55.2,154,815,12,23,30,0,13.6,50,26,22,55,104,27,3,18,25,45.5,10,72,11,154,53,62
"CD_M20182640101","CD_R201826401","CD_S2018264","Ikon Park",2018-02-02 19:45:00,1,"Rd 1","CLEAR_NIGHT","Clear",18,"Collingwood",2,2,14,2,0,0,0,0,0,22,"Away",-8,"Loss","COLL","CD_T8097","Magpies",3,53,2,17,19,3,88,64.3,199,895,23,12,25,2,6.9,65,22,29,53,134,48,7,21,17,27.6,8,60,13,192,55,104
"CD_M20182640102","CD_R201826401","CD_S2018264","Casey Fields",2018-02-03 17:05:00,1,"Rd 1","CLEAR_NIGHT","Clear",18,"Melbourne",7,3,45,1,1,0,0,0,1,39,"Home",6,"Win","MELB","CD_T7386","Demons",4,55,5,14,19,6,111,58.1,203,933,24,19,58.3,3,21.9,74,25,32,59,129,43,6,27,14,37.5,12,63,13,218,58,107
"CD_M20182640102","CD_R201826401","CD_S2018264","Casey Fields",2018-02-03 17:05:00,1,"Rd 1","CLEAR_NIGHT","Clear",18,"GWS Giants",6,3,39,0,1,0,1,1,0,45,"Away",-6,"Loss","GWS","CD_T7889","Giants",0,53,7,18,25,7,103,54,176,886,19,24,60,1,26.1,56,24,23,58,120,36,3,21,25,43.5,10,69,8,179,59,76
"CD_M20182640103","CD_R201826401","CD_S2018264","Norwood Oval",2018-02-03 18:45:00,1,"Rd 1","MOSTLY_SUNNY","Mostly Sunny",18,"Adelaide Crows",3,1,19,0,1,0,0,0,0,31,"Home",-12,"Loss","ADEL","CD_T8098","Crows",0,50,5,14,19,4,96,50,166,787,13,8,50,0,18.8,45,23,16,61,121,33,2,35,28,37.5,6,56,10,166,72,70
"CD_M20182640103","CD_R201826401","CD_S2018264","Norwood Oval",2018-02-03 18:45:00,1,"Rd 1","MOSTLY_SUNNY","Mostly Sunny",18,"Brisbane Lions",4,7,31,6,1,0,0,0,0,19,"Away",12,"Win","BL","CD_T7887","Lions",2,41,4,14,18,14,110,60.5,223,1022,8,13,30.8,4,12.5,78,21,32,72,145,54,13,27,11,40.6,13,57,11,230,61,120
"CD_M20182640104","CD_R201826401","CD_S2018264","VU Whitten Oval",2018-02-04 16:35:00,1,"Rd 1","CLEAR_NIGHT","Clear",18,"Western Bulldogs",7,7,49,5,2,0,0,0,0,23,"Home",26,"Win","WB","CD_T7387","Bulldogs",1,34,4,19,23,7,78,64.7,201,1047,14,14,38.9,7,23.3,51,24,30,45,150,70,12,24,17,60,18,60,14,204,44,126
"CD_M20182640104","CD_R201826401","CD_S2018264","VU Whitten Oval",2018-02-04 16:35:00,1,"Rd 1","CLEAR_NIGHT","Clear",18,"Fremantle",3,5,23,2,0,0,0,3,0,49,"Away",-26,"Loss","FRE","CD_T7886","Freo",3,40,3,13,16,3,81,50.3,145,723,14,14,50,1,15,48,26,20,44,97,17,3,18,22,30,6,66,5,139,44,58
"CD_M20182640201","CD_R201826402","CD_S2018264","Drummoyne Oval",2018-02-09 19:05:00,2,"Rd 2","MOSTLY_SUNNY","Partly cloudy",18,"GWS Giants",1,3,9,1,1,1,0,0,0,30,"Home",-21,"Loss","GWS","CD_T7889","Giants",0,45,4,17,21,7,114,51.1,178,804,24,17,16.7,0,4.8,67,28,21,53,111,17,3,33,24,28.6,6,76,11,174,64,60
